Name,Email,Phone,Year,Dept
Student 0,student0@example.com,9907728639,2,CE
Student 1,student1@example.com,9897613641,5,CS
Student 2,student2@example.com,9408623201,2,EE
Student 3,student3@example.com,9576647757,2,ME
Student 4,student4@example.com,9208540723,3,CS
Student 5,student5@example.com,9747216289,3,EE
Student 6,student6@example.com,9599485483,4,CE
Student 7,student7@example.com,9692321291,3,CE
Student 8,student8@example.com,9395896666,2,CS
Student 9,student9@example.com,9128503513,1,ME
Student 10,student10@example.com,9483179827,4,ME
Student 11,student11@example.com,9639559796,2,ME
Student 12,student12@example.com,9667512118,1,CE
Student 13,student13@example.com,9320966468,5,EE
Student 14,student14@example.com,9836892310,1,CS
Student 15,student15@example.com,9970256120,2,CS
Student 16,student16@example.com,9949762976,3,EE
Student 17,student17@example.com,9259740362,4,EE
Student 18,student18@example.com,9623557739,5,ME
Student 19,student19@example.com,9169543769,4,EE
Student 20,student20@example.com,9304797652,5,CE
Student 21,student21@example.com,9403627298,1,EE
Student 22,student22@example.com,9403649023,4,CE
Student 23,student23@example.com,9469329871,3,CE
Student 24,student24@example.com,9993588755,2,EE
Student 25,student25@example.com,9973531485,3,ME
Student 26,student26@example.com,9264044537,1,EE
Student 27,student27@example.com,9591225863,5,CE
Student 28,student28@example.com,9922204404,5,ME
Student 29,student29@example.com,9364916870,5,CS
Student 30,student30@example.com,9303689955,1,ME
Student 31,student31@example.com,9567619596,1,CS
Student 32,student32@example.com,9281977764,2,EE
Student 33,student33@example.com,9737956845,4,ME
Student 34,student34@example.com,9819250355,4,CE
Student 35,student35@example.com,9464746957,3,ME
Student 36,student36@example.com,9188797823,4,CS
Student 37,student37@example.com,9372074504,3,EE
Student 38,student38@example.com,9174276046,3,CS
Student 39,student39@example.com,9754728376,5,CS
Student 40,student40@example.com,9902032425,5,EE
Student 41,student41@example.com,9623172464,2,EE
Student 42,student42@example.com,9489173710,2,EE
Student 43,student43@example.com,9824244230,2,CS
Student 44,student44@example.com,9641915293,4,CE
Student 45,student45@example.com,9783547743,3,CE
Student 46,student46@example.com,9138864823,4,ME
Student 47,student47@example.com,9201311101,5,CS
Student 48,student48@example.com,9159269712,4,CS
Student 49,student49@example.com,9770083707,3,CS
Student 50,student50@example.com,9590396464,5,CE
Student 51,student51@example.com,9158291459,2,CS
Student 52,student52@example.com,9802054382,2,CE
Student 53,student53@example.com,9113092475,2,CS
Student 54,student54@example.com,9127545108,1,ME
Student 55,student55@example.com,9513321046,5,EE
Student 56,student56@example.com,9923085814,2,CE
Student 57,student57@example.com,9937711579,2,CE
Student 58,student58@example.com,9602487723,5,CE
Student 59,student59@example.com,9361156400,2,ME
Student 60,student60@example.com,9446401213,5,CS
Student 61,student61@example.com,9119990685,3,CE
Student 62,student62@example.com,9661748189,1,CS
Student 63,student63@example.com,9348443363,1,EE
Student 64,student64@example.com,9577611353,1,CS
Student 65,student65@example.com,9220446985,4,CE
Student 66,student66@example.com,9863791736,4,CE
Student 67,student67@example.com,9694734824,5,EE
Student 68,student68@example.com,9961056416,1,ME
Student 69,student69@example.com,9440585175,4,ME
Student 70,student70@example.com,9276082730,3,CE
Student 71,student71@example.com,9795470688,1,CS
Student 72,student72@example.com,9720393791,4,ME
